CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Churned
12346,325,1,77183.6,1,1,4,6,At Risk,1
12747,1,103,4196.01,4,4,4,12,Champions,0
12748,0,4284,32448.84,4,4,4,12,Champions,0
12749,3,199,4090.88,4,4,4,12,Champions,0
12820,2,59,942.34,4,3,3,10,Champions,0
12821,213,6,92.72,1,1,1,3,Lost,1
12822,70,46,948.88,2,3,3,8,Loyal,0
12823,74,5,1759.5,2,1,4,7,Loyal,0
12824,59,25,397.12,2,2,2,6,At Risk,0
12826,2,91,1474.72,4,3,3,10,Champions,0
12827,5,25,430.15,4,2,2,8,Loyal,0
12828,2,56,1018.71,4,3,3,10,Champions,0
12829,336,11,293,1,1,1,3,Lost,1
12830,37,38,6814.64,3,2,4,9,Loyal,0
12831,261,9,215.05,1,1,1,3,Lost,1
12832,31,27,383.03,3,2,2,7,Loyal,0
12833,144,24,417.38,1,2,2,5,At Risk,1
12834,282,18,312.38,1,2,2,5,At Risk,1
12836,58,172,2597.76,2,4,4,10,Champions,0
12837,172,12,134.1,1,1,1,3,Lost,1
12838,33,117,648.23,3,4,3,10,Champions,0
12839,2,313,5576.52,4,4,4,12,Champions,0
12840,143,113,2726.77,1,4,4,9,Loyal,1
12841,4,412,3982.83,4,4,4,12,Champions,0
12842,69,34,1118.99,2,2,3,7,Loyal,0
12843,65,100,1674.37,2,4,4,10,Champions,0
12844,28,50,317.41,3,3,2,8,Loyal,0
12845,266,27,354.09,1,2,2,5,At Risk,1
12847,21,72,757.98,3,3,3,9,Loyal,0
12849,30,47,997.69,3,3,3,9,Loyal,0
12851,96,43,126.16,2,3,1,6,At Risk,1
12852,294,17,311.55,1,2,2,5,At Risk,1
12853,134,78,1957.1,2,3,4,9,Loyal,1
12854,78,107,1305.85,2,4,3,9,Loyal,0
12855,372,3,38.1,1,1,1,3,Lost,1
12856,7,306,2112.33,4,4,4,12,Champions,0
12857,210,46,1106.4,1,3,3,7,Loyal,1
12863,51,5,521.2,2,1,2,5,At Risk,0
12864,137,3,147.12,2,1,1,4,Lost,1
12867,25,524,3936.71,3,4,4,11,Champions,0
12868,185,107,1607.06,1,4,4,9,Loyal,1
12871,83,11,380.64,2,1,2,5,At Risk,0
12872,326,66,599.97,1,3,2,6,At Risk,1
12873,281,4,374,1,1,2,4,Lost,1
12875,142,2,343.23,2,1,2,5,At Risk,1
12877,3,154,1535.77,4,4,3,11,Champions,0
12878,235,47,854.99,1,3,3,7,Loyal,1
12879,44,10,573.22,3,1,2,6,At Risk,0
12881,275,7,298,1,1,2,4,Lost,1
12882,8,13,1463.04,4,1,3,8,Loyal,0
12883,24,42,703.47,3,3,3,9,Loyal,0
12884,87,7,309.05,2,1,2,5,At Risk,0
